date,BANDHAN ,Edelweiss ,Taurus ,HDFC ,DSP ,Union ,BANK OF INDIA ,Aditya Birla Sun Life ,SBI LONG TERM EQUITY FUND ,LIC MF ,Invesco India ,JM ,Axis ,ICICI Prudential ,UTI ,quant ,Tata ,Motilal Oswal ,PGIM India ,Navi ,Mirae Asset ,Mahindra Manulife ,Groww ,Parag Parikh ,ITI ,Sundaram ,BARODA BNP PARIBAS ,Samco ,HSBC ,HSBC ,Zerodha 
2022-07-01,97.37,70.98,110.83,740.795,78.952,39.69,96.82,40.06,215.6556,97.5808,79.66,27.5361,65.0877,582.79,137.6781,219.8094,28.0743,25.4827,23.66,20.1448,30.674,18.7886,13.0,18.2169,13.0524,314.286,56.5625,,,,
2022-07-04,97.83,71.59,111.34,745.93,79.481,39.97,97.67,40.32,217.3353,98.4095,80.26,27.7964,65.6105,587.26,138.8702,221.4457,28.2395,25.784,23.86,20.2375,30.889,18.9585,13.1,18.2901,13.1306,315.996,56.9831,,,,
2022-07-05,97.85,71.46,111.21,745.413,79.528,40.0,97.54,40.25,216.9334,98.2575,80.19,27.8103,65.7151,588.7,138.7701,220.7966,28.276,25.7633,23.85,20.2677,30.882,18.9171,13.06,18.2665,13.1011,316.5072,57.0377,,,,
2022-07-06,98.99,72.32,112.19,752.835,80.511,40.57,98.91,40.75,219.4792,99.9001,81.18,28.3098,67.1482,596.0,141.069,222.4905,28.5598,26.063,24.03,20.4378,31.289,19.1832,13.24,18.451,13.226,320.7633,57.778,,,,
2022-07-07,100.24,72.96,113.42,760.341,81.383,40.87,99.67,41.25,222.0375,100.9749,81.8,28.5684,67.537,601.89,142.5021,225.4546,28.8681,26.4654,24.25,20.6536,31.643,19.3934,13.4,18.5932,13.3776,324.6954,58.2959,,,,
2022-07-08,100.75,73.48,113.88,765.592,81.857,41.05,100.16,41.46,223.2955,101.5288,82.27,28.7101,67.7009,605.25,143.025,226.9747,29.0315,26.5424,24.38,20.7711,31.7,19.4986,13.5,18.6588,13.4513,325.6398,58.578,,,,
2022-07-11,101.46,73.66,113.44,765.782,82.09,41.07,100.65,41.66,224.0399,101.4643,82.39,28.748,67.7432,605.31,143.5267,229.207,29.1104,26.6481,24.41,20.8323,31.659,19.5069,13.5,18.6498,13.4905,326.4754,58.6636,,,,
2022-07-12,100.45,73.04,112.79,760.846,81.463,40.71,99.67,41.4,222.4538,100.3748,81.67,28.5403,66.9495,599.52,141.9796,228.1919,28.8767,26.4328,24.16,20.6499,31.416,19.3482,13.36,18.5685,13.3834,323.5964,58.1994,,,,
2022-07-13,100.35,72.83,112.13,757.959,81.28,40.64,99.77,41.23,221.8228,100.2018,81.45,28.5147,67.1057,597.21,141.949,227.5268,28.7629,26.4803,24.06,20.599,31.308,19.3061,13.35,18.462,13.3369,322.8077,58.0355,,,,
2022-07-14,100.18,72.55,111.63,756.081,81.165,40.56,99.43,41.24,221.3832,99.9498,81.09,28.3821,67.0015,595.01,141.3617,226.9835,28.6251,26.3109,23.98,20.5204,31.22,19.2241,13.31,18.382,13.3219,321.2086,57.9055,,,,
2022-07-15,100.65,73.03,111.79,759.586,81.471,40.84,100.27,41.55,222.7821,100.8265,81.89,28.6265,67.5691,597.85,142.1433,228.3869,28.7988,26.432,24.12,20.6282,31.377,19.3993,13.4,18.3924,13.4142,323.2829,58.2711,,,,
2022-07-18,102.06,74.1,113.35,769.195,82.592,41.45,101.5,42.09,226.3754,102.315,83.04,29.077,68.6155,607.09,144.129,232.0804,29.2741,26.8615,24.52,20.9138,31.787,19.6748,13.57,18.5732,13.5922,328.1317,59.0786,,,,
2022-07-19,102.64,74.49,113.59,774.58,82.988,41.64,102.16,42.29,227.565,102.8015,83.43,29.2258,68.925,610.47,145.2723,233.066,29.5483,27.0417,24.67,21.0022,31.896,19.7706,13.6,18.6173,13.6612,330.6701,59.3228,,,,
2022-07-20,103.4,75.16,114.61,780.678,83.59,41.89,102.55,42.54,228.7357,103.3429,83.99,29.4488,69.1252,615.17,145.9588,234.2969,29.7772,27.1971,24.82,21.2004,32.187,19.9278,13.71,18.7472,13.7868,332.4185,59.808,,,,
2022-07-21,104.17,75.7,115.36,784.333,83.939,42.18,103.39,42.85,230.8997,104.1652,84.46,29.7473,69.9609,619.67,147.3546,236.9155,29.9528,27.442,24.91,21.3583,32.392,20.0746,13.78,18.8223,13.8692,334.4821,60.1591,,,,
2022-07-22,104.76,75.91,115.84,786.365,84.414,42.31,103.59,43.2,231.0659,104.4469,85.08,29.8995,69.9601,621.49,147.9892,237.9277,30.1027,27.6951,25.11,21.4672,32.519,20.177,13.87,18.8779,13.9292,336.0305,60.5283,,,,
2022-07-25,104.34,75.79,115.83,785.452,84.275,42.22,103.5,42.95,229.8846,104.4236,84.71,29.8268,69.7673,619.73,147.4098,237.8598,30.052,27.62,25.06,21.4356,32.422,20.1303,13.87,18.8827,13.8953,335.1464,60.3665,,,,
2022-07-26,103.33,75.08,114.54,777.893,83.478,41.81,102.84,42.48,228.2392,103.2254,83.86,29.4754,69.1326,612.8,145.6788,236.2386,29.8318,27.2153,24.87,21.2132,32.057,19.9252,13.7,18.7571,13.7962,331.4649,59.8262,,,,
2022-07-27,103.94,75.69,115.3,785.356,84.398,42.1,103.5,42.83,229.9226,104.2148,84.26,29.7119,69.8525,618.53,146.8832,238.8752,30.0482,27.5388,25.09,21.4061,32.333,20.1346,13.81,18.8821,13.8694,334.8133,60.3678,,,,
2022-07-28,104.91,76.41,116.64,793.042,85.182,42.7,104.68,43.23,231.7971,105.8847,85.43,30.0154,71.9063,625.3,148.8568,240.0583,30.4129,27.8024,25.21,21.6481,32.692,20.4483,13.97,19.1263,14.0242,338.1114,61.2518,,,,
2022-07-29,105.53,77.47,117.25,800.236,86.103,43.27,105.96,43.66,233.7851,107.0256,86.34,30.2949,72.9947,634.45,150.1148,241.972,30.8443,28.119,25.45,21.9568,33.123,20.7004,14.18,19.2819,14.2183,341.9512,62.0542,,,,
2022-08-01,107.22,78.2,118.02,809.192,86.998,43.72,107.32,44.18,236.3586,108.266,87.66,30.6685,73.7095,641.89,152.1528,245.9974,31.1815,28.4043,25.69,22.2254,33.501,20.9075,14.33,19.4428,14.3621,345.5834,62.701,,,,
2022-08-02,107.314,78.23,117.8,807.247,86.87,43.72,107.48,44.32,236.4329,108.4235,87.98,30.615,74.0304,639.1,152.5169,246.1856,31.1567,28.483,25.67,22.1726,33.511,20.8989,14.33,19.4734,14.387,345.7696,62.5714,,,,
2022-08-03,107.225,78.23,117.99,808.63,86.675,43.83,107.44,44.08,236.3399,108.629,88.05,30.5675,73.8828,638.99,152.5414,245.6873,31.2013,28.5164,25.64,22.2069,33.497,20.8776,14.32,19.4592,14.3756,345.385,62.6006,,,,
2022-08-04,107.225,78.23,118.1,809.064,86.69,43.95,107.72,44.11,236.6861,108.8264,88.24,30.5872,74.2272,639.82,152.5201,244.5831,31.2463,28.5113,25.63,22.1872,33.52,20.9225,14.28,19.4308,14.3781,344.8328,62.6552,,,,
2022-08-05,107.311,78.34,118.15,809.515,86.724,44.14,108.28,44.18,237.5322,109.0667,88.45,30.6058,74.6044,640.11,152.8169,245.9172,31.2125,28.627,25.72,22.2192,33.578,20.9884,14.32,19.4775,14.4008,344.773,62.7265,,,,
2022-08-08,107.714,78.78,119.14,817.309,86.986,44.38,108.77,44.46,238.3265,109.5706,88.95,30.7259,74.8976,643.01,153.551,248.3147,31.3926,28.7073,25.83,22.3238,33.731,21.1066,14.4,19.6084,14.5155,346.669,63.1574,,,,
2022-08-10,107.794,78.8,119.34,818.367,87.006,44.41,108.52,44.46,238.2761,109.7483,88.89,30.7672,74.4544,644.47,153.482,247.8276,31.5204,28.6001,25.84,22.3497,33.719,21.0733,14.43,19.616,14.5105,347.6548,63.1641,,,,
2022-08-11,108.775,79.48,120.24,824.98,87.658,44.81,109.28,44.82,240.2824,110.7423,89.75,31.0662,75.3237,648.72,154.9321,249.1999,31.7521,28.9032,26.0,22.5701,34.005,21.2831,14.54,19.7403,14.6143,352.0464,63.5126,,,,
2022-08-12,109.437,79.7,120.15,828.828,88.071,44.92,109.88,44.9,241.0027,110.9437,89.87,31.1386,75.3228,648.94,155.4977,250.3399,31.8356,29.1327,26.19,22.6384,34.157,21.3083,14.56,19.7727,14.6475,352.3834,63.6484,,,,
2022-08-16,110.38,80.38,120.78,836.69,88.816,45.21,110.77,45.33,243.0552,111.5944,90.54,31.4082,75.8512,653.29,156.5716,252.5085,32.0387,29.4832,26.33,22.8613,34.355,21.4777,14.68,19.9158,14.7646,355.2793,64.0797,,,,
2022-08-17,110.773,80.72,121.72,841.402,89.412,45.42,110.96,45.55,243.8537,112.0572,91.0,31.6823,76.5286,659.63,157.7646,254.31,32.1815,29.6374,26.41,22.983,34.615,21.6234,14.76,20.0373,14.8282,357.7485,64.4203,,,,
